"label","value","chain","chainValue","parentLabel","parentValue","gasUSD","gasUSDPctChange","transactions","transactionsPctChange","activeAddresses","activeAddressesPctChange"
"0x64dd18dc68235ca1ea260ee524ae205cb5d2002a","0x64dd18dc68235ca1ea260ee524ae205cb5d2002a","Ethereum","ethereum","","","5.349247762363772","934.6950888276299","5","150.000000","2","100.000000"
"0xb12f1a0506b114abcb077d9c138edddd473e2ab3","0xb12f1a0506b114abcb077d9c138edddd473e2ab3","Ethereum","ethereum","","","5.348128891094939","","3","","1",""
"0x0cf023d3bacda4de4e983fabc3750ce7f022bb0e","0x0cf023d3bacda4de4e983fabc3750ce7f022bb0e","Ethereum","ethereum","","","5.347238704726705","1307.5058881475236","6","500.000000","3","200.000000"
"0x85ffb2297a72cb70bc19859938158faf54cb6f65","0x85ffb2297a72cb70bc19859938158faf54cb6f65","Ethereum","ethereum","","","5.345783603192748","","1","","1",""
"0x3be18f6a081d5604d02de77a66f7f7beb0388c55","0x3be18f6a081d5604d02de77a66f7f7beb0388c55","Ethereum","ethereum","","","5.345508998193643","313.3476291554815","4","33.333333","1","0.000000"
"0x563a7607b02ff3b3890a2677cdf833bdc231b0ff","0x563a7607b02ff3b3890a2677cdf833bdc231b0ff","Ethereum","ethereum","","","5.34509040485547","","5","","1",""
"0x0f4db4e4d3af59500dd49155367b3bb9ae89a7ae","0x0f4db4e4d3af59500dd49155367b3bb9ae89a7ae","Ethereum","ethereum","","","5.344610366292821","","1","","1",""
"0xc19a2816e9ffcf1967f5cd1b69701d5e73eaeb57","0xc19a2816e9ffcf1967f5cd1b69701d5e73eaeb57","Ethereum","ethereum","","","5.34433176210495","1662.5852637606802","5","400.000000","1","0.000000"
"0x97ffd9d31c9201a47ffd7268ae5fda24feb372f8","0x97ffd9d31c9201a47ffd7268ae5fda24feb372f8","Ethereum","ethereum","","","5.344159292562197","","4","","4",""
"0x026bea96ebfc3fe604031e9b4e6126a201966237","0x026bea96ebfc3fe604031e9b4e6126a201966237","Ethereum","ethereum","","","5.3434181353116665","","3","","3",""
"0xb123894c3c0ce99b2a50b418769912df4d710609","0xb123894c3c0ce99b2a50b418769912df4d710609","Ethereum","ethereum","","","5.343290174012309","709.62557978267","5","150.000000","4","100.000000"
"0xef15d12b8b935a432b681f317afd050f48dcbf85","0xef15d12b8b935a432b681f317afd050f48dcbf85","Ethereum","ethereum","","","5.3432410596419295","1664.9917043613937","4","300.000000","2","100.000000"
"0xda683abf7fc7cd8a35fe2ce58af04295c66b8874","0xda683abf7fc7cd8a35fe2ce58af04295c66b8874","Ethereum","ethereum","","","5.343178516378554","776.7747859509828","5","400.000000","1","0.000000"
"0xf5e664e2fe4b6e213afbb626f243bd7655c29b30","0xf5e664e2fe4b6e213afbb626f243bd7655c29b30","Ethereum","ethereum","","","5.343114359605771","1853.7705345357995","4","300.000000","1","0.000000"
"0x123513483756cf3748995d958c0a22ceaa8dfed4","0x123513483756cf3748995d958c0a22ceaa8dfed4","Ethereum","ethereum","","","5.3423797655601115","","15","","15",""
"0xfa608a72a5b98f6fc212312b56c569ded6671274","0xfa608a72a5b98f6fc212312b56c569ded6671274","Ethereum","ethereum","","","5.3423576241608535","","7","","2",""
"0x01e6a33751257181b49cfebc6a4cf4495aa58871","0x01e6a33751257181b49cfebc6a4cf4495aa58871","Ethereum","ethereum","","","5.342299289211585","181.21179878710672","4","-33.333333","3","-25.000000"
"0x44bde87a6b8c55432360e26d183d3f20d20d205d","0x44bde87a6b8c55432360e26d183d3f20d20d205d","Ethereum","ethereum","","","5.341549899894601","661.5614312626091","4","100.000000","3","50.000000"
"0x3fa7c9a7fecb910bd8ee14c866e187c4bb27003e","0x3fa7c9a7fecb910bd8ee14c866e187c4bb27003e","Ethereum","ethereum","","","5.341537095914617","","7","","2",""
